BOM,Ind Model,HQ Model,Ind ODF,HQ ODF,Project ID,Software Version,Panel,MB,Chassis,PSU,RC,MODULE Panel,（L)/LB,（R)/LB,WIFI BOARD,BLUEE TOOTH,TOP Panel SPONGE STRIPE,L&R Panel SPONGE STRIPE,"
DR",CAMERA(ON TOP EPS),LVDS CABLE-L,LVDS CABLE-R,FFC CABLE(L&R),Stand Base-L,Stand Base-R,Package,增亮片(BRIGHTENER),增亮片(BRIGHTENER),反射片,
H7-48B261NAL-ID0,L48B2610,48B2610,,,OLD,,4A-LD48O5-CS2STA,T8-48APAL-MA1,RT49S-AP,81-PWE048-H01,06-520W37-T002X,T8-48B2610-LPM5,4C-LB480T-YH1HP,NO,NO,NO,NO,NO,NO,NO,46-60FS40-CFB01G,NO,NO,,,,,,,
H7-55E56Q1-IDNA0AA,L55E5690,55E5690,,,OLD,,4A-LCD55E-CS1STA,08-S901K06-MA200AA,MS901K-AP,81-PE521C3-PL290AA,06-IRZNSB-CRC360,4A-LCD55E-CS1STA,,NO,NO,NO,NO,NO,NO,NO,46-YY052C-51Z02G,NO,NO,,,,,,,
H7-DB261NKU-ID0,L24B2610,23B2610,,,OLD,,4A-LD23O7-SS1GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-B002X,T8-23B2610-LPM1,4C-LB230T-HQ1,NO,NO,NO,NO,NO,NO,NO,46-60HA45-AAB01G,NO,NO,,,,,,,
H7-XB260NK8-ID0A,L40B2600,39B2600,,,OLD,,4A-LCD39O-CM4GTA,T8-39APK8-MA11,MS82L-AP,81-PBE039-G92,06-520W37-B002X,T8-39B2600-LPM1,4C-LB390T-YHAL,NO,NO,NO,NO,NO,NO,NO,46-60HA55-AAB01G,NO,NO,,,,,,,
H7-ID20N7W-ID0A,L17D20B,16D20,,,OLD,,4A-LCD16E-CM1,T8-16AP7W-MA3,MS82C-AP,81-ADT1225-PW3,06-529W34-A002X,4A-LCD16E-CM1,,NO,NO,NO,NO,NO,NO,NO,46-ZZ042G-CM0BG,NO,NO,,,,,,,
H7-DB260NKU-ID0,L24B2600,23B2600,,,OLD,,4A-LD23O7-SS1GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-B002X,T8-23B2600-LPM1,4C-LB230T-HQ1,NO,NO,NO,NO,NO,NO,NO,46-60HA45-AAB01G,NO,NO,,,,,,,
H7-28E42NKG-ID0,L29E4200,28E4200,,,OLD,,4A-LD28O5-CS4GTA,T8-28APKG-MA7 (02-SHY82P-CFAP08T),MS82PT-AP,NO,06-520W37-F001X,T8-28E4200-LPM1,4C-LB280T-YH2,NO,NO,NO,NO,NO,NO,NO,46-ZZ575C-60ZG,NO,NO,,,,,,,
H7-HB262NKG-ID0,L32B2620,32B2620,,,OLD,,4A-LD32OF-CS9GTA,"T8-32APKG-MA5
（02-SHY82P-CHAP02T）",MS82PT-AP,NO,06-520W37-B002X,T8-32B2620-LPM1,4C-LB320T-DS2,NO,NO,NO,NO,NO,NO,NO,46-ZZ565C-60ZG,NO,NO,,,,,,,
H7-HB260NKG-ID0,L32B2600,32B2600,,,OLD,,4A-LD32OF-CS9GTA,"T8-32APKG-MA5
（02-SHY82P-CHAP02T）",MS82PT-AP,NO,06-520W37-B002X,T8-32B2600-LPM4,4C-LB320T-DS2,NO,NO,NO,NO,NO,NO,NO,46-ZZ565C-60ZG,NO,NO,,,,,,,
H7-XB261NAL-ID0,L40B2610,39B2610,,,OLD,,4A-LCD39O-CM3,T8-39APAL-MA1,RT49S-AP,81-PBE039-G01,06-520W37-T002X,T8-39B2610-LPM2,4C-LB390T-YHAL,NO,NO,NO,NO,NO,NO,NO,46-60FC50-CFB01G,NO,NO,,,,,,,
H7-28E35R9-IDNF0AA,L29E3500,28E3500,,,OLD,,4A-LD28O5-CS4GTA,08-S82MT05-MA200AA,MS82MT-AP,81-ES282C1-PL290AA,06-520W37-T003X,08-28E3500-LPM002B,4C-LB2836-ZM1,NO,NO,NO,NO,NO,NO,NO,46-YY018C-60Z02G,NO,NO,,,,,,,
H7-DB261NKU-ID0,L24B2610,23B2610,,,OLD,,4A-LD23O7-SS1GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-B002X,T8-23B2610-LPM1,4C-LB230T-HQ1,NO,NO,NO,NO,NO,NO,NO,46-60HA45-AAB01G,NO,NO,,,,,,,
H7-DB260NKU-ID0,L24B2600,23B2600,,,OLD,,4A-LD23O7-SS1GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-B002X,T8-23B2600-LPM1,4C-LB230T-HQ1,NO,NO,NO,NO,NO,NO,NO,46-60HA45-AAB01G,NO,NO,,,,,,,
H7-DE42NKU-ID0,L24E4200,23E4200,,,OLD,,4A-LD23O7-SS1GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-F001X,T8-23E4200-LPM1,4C-LB230T-HQ1,NO,NO,NO,NO,NO,NO,NO,46-60HA45-AAB01G,NO,NO,,,,,,,
H7-HB261NAL-ID0,L32B2610,32B2610,,,OLD,,4A-LCD32O-CS2,T8-32APAL-MA1,RT49S-AP,81-PBE032-G03,06-520W37-T002X,T8-32B2610-LPM4,4C-LB320T-DS2,NO,NO,NO,NO,NO,NO,NO,46-60HA40-AAB01G,NO,NO,,,,,,,
H7-HB260NKG-ID0,L32B2600,32B2600,,,OLD,,4A-LD32OF-CS9GTA,"T8-32APKG-MA5
（02-SHY82P-CHAP02T）",MS82PT-AP,NO,06-520W37-B002X,T8-32B2600-LPM4,4C-LB320T-DS2,NO,NO,NO,NO,NO,NO,NO,46-ZZ565C-60ZG,NO,NO,,,,,,,
H7-XB260NK8-ID0A,L40B2600,39B2600,,,OLD,,4A-LD39O5-AU5GTA,T8-39APK8-MA13,MS82L-AP,81-PBE039-G01,06-520W37-B002X,T8-39B2600-LPM2,4C-LB390T-YHAL,NO,NO,NO,NO,NO,NO,NO,46-60HA55-AAB01G,NO,NO,,,,,,,
H7-48B261NAL-ID0,L48B2610,48B2610,,,OLD,,4A-LD48O5-CS2STA,T8-48APAL-MA1,RT49S-AP,81-PWE048-H01,06-520W37-T002X,T8-48B2610-LPM5,4C-LB480T-YH1HP,NO,NO,NO,NO,NO,NO,NO,46-60FS40-CFB01G,NO,NO,,,,,,,
H7-ID20N7W-ID0A,L17D20B,16D20,,,OLD,,4A-LCD16E-CM1,T8-16AP7W-MA3,MS82C-AP,81-ADT1225-PW3,06-529W34-A002X,4A-LCD16E-CM1,,NO,NO,NO,NO,NO,NO,NO,46-ZZ042G-CM0BG,NO,NO,,,,,,,
H7-28E42NKG-ID0,L29E4200,28E4200,,,OLD,,4A-LD28O5-CS4GTA,T8-28APKG-MA7 (02-SHY82P-CFAP08T),MS82PT-AP,NO,06-520W37-F001X,T8-28E4200-LPM1,4C-LB280T-YH2,NO,NO,NO,NO,NO,NO,NO,46-ZZ575C-60ZG,NO,NO,,,,,,,
H7-DB261NKU-ID0,L24B2610,23B2610,,,OLD,,4A-LD23O7-SS1GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-B002X,T8-23B2610-LPM1,4C-LB230T-HQ1,NO,NO,NO,NO,NO,NO,NO,46-60HA45-AAB01G,NO,NO,,,,,,,
H7-DB260NKU-ID0,L24B2600,23B2600,,,OLD,,4A-LD23O7-SS1GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-B002X,T8-23B2600-LPM1,4C-LB230T-HQ1,NO,NO,NO,NO,NO,NO,NO,46-60HA45-AAB01G,NO,NO,,,,,,,
H7-DE42NKU-ID0,L24E4200,23E4200,,,OLD,,4A-LD23O7-SS1GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-F001X,T8-23E4200-LPM1,4C-LB230T-HQ1,NO,NO,NO,NO,NO,NO,NO,46-60HA45-AAB01G,NO,NO,,,,,,,
H7-HB260NKG-ID0,L32B2600,32B2600,,,OLD,,4A-LD32OF-CS9GTA,"T8-32APKG-MA5
（02-SHY82P-CHAP02T）",MS82PT-AP,NO,06-520W37-B002X,T8-32B2600-LPM4,4C-LB320T-DS2,NO,NO,NO,NO,NO,NO,NO,46-ZZ565C-60ZG,NO,NO,,,,,,,
H7-HB261NAL-ID0,L32B2610,32B2610,,,OLD,,4A-LCD32O-CS2,T8-32APAL-MA1,RT49S-AP,81-PBE032-G03,06-520W37-T002X,T8-32B2610-LPM4,4C-LB320T-DS2,NO,NO,NO,NO,NO,NO,NO,46-60HA40-AAB01G,NO,NO,,,,,,,
H7-28E35R9-IDNF0AA,L29E3500,28E3500,,,OLD,,4A-LD28O5-CS4GTA,08-S82MT05-MA200AA,MS82MT-AP,81-ES282C1-PL290AA,06-520W37-T003X,08-28E3500-LPM002B,4C-LB2836-ZM1,NO,NO,NO,NO,NO,NO,NO,46-YY018C-60Z02G,NO,NO,,,,,,,
H7-ID20N7W-ID0A,L17D20B,16D20,,,OLD,,4A-LCD16E-CM1,T8-16AP7W-MA3,MS82C-AP,81-ADT1225-PW3,06-529W34-A002X,4A-LCD16E-CM1,,NO,NO,NO,NO,NO,NO,NO,46-ZZ042G-CM0BG,NO,NO,,,,,,,
H7-28E42NKG-ID0,L29E4200,28E4200,,,OLD,,4A-LD28O5-CS4GTA,T8-28APKG-MA7 (02-SHY82P-CFAP08T),MS82PT-AP,NO,06-520W37-F001X,T8-28E4200-LPM1,4C-LB280T-YH2,NO,NO,NO,NO,NO,NO,NO,46-ZZ575C-60ZG,NO,NO,,,,,,,
H7-HB262NKG-ID0,L32B2620,32B2620,,,OLD,,4A-LD32OF-CS9GTA,"T8-32APKG-MA5
（02-SHY82P-CHAP02T）",MS82PT-AP,NO,06-520W37-B002X,T8-32B2620-LPM1,4C-LB320T-DS2,NO,NO,NO,NO,NO,NO,NO,46-ZZ565C-60ZG,NO,NO,,,,,,,
H7-XB260NK8-ID0A,L40B2600,39B2600,,,OLD,,4A-LD39O5-AU5GTA,T8-39APK8-MA13,MS82L-AP,81-PBE039-G01,06-520W37-B002X,T8-39B2600-LPM2,4C-LB390T-YHAL,NO,NO,NO,NO,NO,NO,NO,46-60HA55-AAB01G,NO,NO,,,,,,,
H7-XB261NAL-ID0,L40B2610,39B2610,,,OLD,,4A-LCD39O-CM3,T8-39APAL-MA1,RT49S-AP,81-PBE039-G01,06-520W37-T002X,T8-39B2610-LPM2,4C-LB390T-YHAL,NO,NO,NO,NO,NO,NO,NO,46-60FC50-CFB01G,NO,NO,,,,,,,
H7-48B261NAL-ID0,L48B2610,48B2610,,,OLD,,4A-LD48O5-CS2STA,T8-48APAL-MA1,RT49S-AP,81-PWE048-H01,06-520W37-T002X,T8-48B2610-LPM5,4C-LB480T-YH1HP,NO,NO,NO,NO,NO,NO,NO,46-60FS40-CFB01G,NO,NO,,,,,,,
H7-YB252NKU-ID0,L24B2520,24B2520,,,OLD,,4A-LD24O5-CM5GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-B002X,T8-24B2520-LPM7,4C-LB240T-ZM1,NO,NO,NO,NO,NO,NO,NO,46-AB450D-CM0GG,NO,NO,,,,,,,
H7-YB252NKU-ID0,L24B2520,24B2520,,,OLD,,4A-LD24O5-CM5GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-B002X,T8-24B2520-LPM7,4C-LB240T-ZM1,NO,NO,NO,NO,NO,NO,NO,46-AB450D-CM0GG,NO,NO,,,,,,,
H7-HB252NKG-ID0A,L32B2520,32B2520,,,OLD,,4A-LD32OF-CS9GTA,"T8-32APKG-MA5
（02-SHY82P-CHAP02T）",MS82PT-AP,NO,06-520W37-B002X,T8-32B2520-LPM9,4C-LB320T-DS2,NO,NO,NO,NO,NO,NO,NO,46-ZZ538G-64ZG,NO,NO,,,,,,,
H7-55E56Q1-IDNA0AA,L55E5690,55E5690,,,OLD,,4A-LCD55E-CS1STA,08-S901K06-MA200AA,MS901K-AP,81-PE521C3-PL290AA,06-IRZNSB-CRC360,4A-LCD55E-CS1STA,,NO,NO,NO,NO,NO,NO,NO,46-YY052C-51Z02G,NO,NO,,,,,,,
H7-YB252NKU-ID0,L24B2520,24B2520,,,OLD,,4A-LD24O5-CM5GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-B002X,T8-24B2520-LPM7,4C-LB240T-ZM1,NO,NO,NO,NO,NO,NO,NO,46-AB450D-CM0GG,NO,NO,,,,,,,
H7-XB260NK8-ID0A,L40B2600,39B2600,,,OLD,,4A-LD39O5-AU5GTA,T8-39APK8-MA13,MS82L-AP,81-PBE039-G01,06-520W37-B002X,T8-39B2600-LPM2,4C-LB390T-YHAL,NO,NO,NO,NO,NO,NO,NO,46-60HA55-AAB01G,NO,NO,,,,,,,
H7-YB252NKU-ID0,L24B2520,24B2520,,,OLD,,4A-LD24O5-CM5GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-B002X,T8-24B2520-LPM7,4C-LB240T-ZM1,NO,NO,NO,NO,NO,NO,NO,46-AB450D-CM0GG,NO,NO,,,,,,,
H7-48B261NAL-ID0A,L48B2610,48B2610,,,OLD,,4A-LD48O5-CS4GTA,T8-48APAL-MA2,RT49S-AP,81-PWE048-H01,06-520W37-T002X,T8-48B2610-LPM13,4C-LB480T-YH1HP,NO,NO,NO,NO,NO,NO,NO,46-60FS40-CFB01G,NO,NO,,,,,,,
H7-HB252NKG-ID0A,L32B2520,32B2520,,,OLD,,4A-LD32OF-CS9GTA,"T8-32APKG-MA5
（02-SHY82P-CHAP02T）",MS82PT-AP,NO,06-520W37-B002X,T8-32B2520-LPM9,4C-LB320T-DS2,NO,NO,NO,NO,NO,NO,NO,46-ZZ538G-64ZG,NO,NO,,,,,,,
H7-XB260NK8-ID0A,L40B2600,39B2600,,,OLD,,4A-LD39O5-AU5GTA,T8-39APK8-MA13,MS82L-AP,81-PBE039-G01,06-520W37-B002X,T8-39B2600-LPM2,4C-LB390T-YHAL,NO,NO,NO,NO,NO,NO,NO,46-60HA55-AAB01G,NO,NO,,,,,,,
H7-YB252NKU-ID0,L24B2520,24B2520,,,OLD,,4A-LD24O5-CM5GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-B002X,T8-24B2520-LPM7,4C-LB240T-ZM1,NO,NO,NO,NO,NO,NO,NO,46-AB450D-CM0GG,NO,NO,,,,,,,
H7-YB252NKU-ID0,L24B2520,24B2520,,,OLD,,4A-LD24O5-CM5GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-B002X,T8-24B2520-LPM7,4C-LB240T-ZM1,NO,NO,NO,NO,NO,NO,NO,46-AB450D-CM0GG,NO,NO,,,,,,,
H7-55E56Q1-IDND0AA,L55E5690,55E5690,,,OLD,,4A-LD55E7-CS2STA,08-S901K06-MA200AA,MS901K-AP,81-PE461C6-PL290AB,06-IRZNSB-CRC360,4A-LD55E7-CS2STA,,NO,NO,NO,NO,NO,NO,NO,46-YY058C-51Z02G,NO,NO,,,,,,,
H7-ID20N7W-ID0A,L17D20B,16D20,,,OLD,,4A-LCD16E-CM1,T8-16AP7W-MA3,MS82C-AP,81-ADT1225-PW3,06-529W34-A002X,4A-LCD16E-CM1,,NO,NO,NO,NO,NO,NO,NO,46-ZZ042G-CM0BG,NO,NO,,,,,,,
H7-HB262NKG-ID0A,L32B2620,32B2620,,,OLD,,4A-LD32OF-CS9GTA,"T8-32APKG-MA5
（02-SHY82P-CHAP02T）",MS82PT-AP,NO,06-520W37-B002X,T8-32B2620-LPM1,4C-LB320T-DS2,NO,NO,NO,NO,NO,NO,NO,46-ZZ565C-60ZG,NO,NO,,,,,,,
H7-XB261NAL-ID0,L40B2610,39B2610,,,OLD,,4A-LCD39O-CM3,T8-32APAL-MA4,RT49S-AP,81-PBE039-G01,06-520W37-T002X,T8-39B2610-LPM2,4C-LB390T-YHAL,NO,NO,NO,NO,NO,NO,NO,46-60FC50-CFB01G,NO,NO,,,,,,,
H7-ID20N7W-ID0A,L17D20B,16D20,,,OLD,,4A-LCD16E-CM1,T8-16AP7W-MA3,MS82C-AP,81-ADT1225-PW3,06-529W34-A002X,4A-LCD16E-CM1,,NO,NO,NO,NO,NO,NO,NO,46-ZZ042G-CM0BG,NO,NO,,,,,,,
H7-XB260NK8-ID0A,L40B2600,39B2600,,,OLD,,4A-LD39O5-AU5GTA,T8-39APK8-MA13,MS82L-AP,81-PBE039-G01,06-520W37-B002X,T8-39B2600-LPM2,4C-LB390T-YHAL,NO,NO,NO,NO,NO,NO,NO,46-60HA55-AAB01G,NO,NO,,,,,,,
H7-48B261NAL-ID0A,L48B2610,48B2610,,,OLD,,4A-LD48O5-CS4GTA,T8-48APAL-MA2,RT49S-AP,81-PWE048-H01,06-520W37-T002X,T8-48B2610-LPM13,4C-LB480T-YH1HP,NO,NO,NO,NO,NO,NO,NO,46-60FS40-CFB01G,NO,NO,,,,,,,
H7-28E42NKG-ID0,L29E4200,28E4200,,,OLD,,4A-LD28O5-CS4GTA,T8-28APKG-MA7 (02-SHY82P-CFAP08T),MS82PT-AP,NO,06-520W37-F001X,T8-28E4200-LPM1,4C-LB280T-YH2,NO,NO,NO,NO,NO,NO,NO,46-ZZ575C-60ZG,NO,NO,,,,,,,
H7-DE42NKU-ID0,L24E4200,23E4200,,,OLD,,4A-LD23O7-SS1GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-F001X,T8-23E4200-LPM1,4C-LB230T-HQ1,NO,NO,NO,NO,NO,NO,NO,46-60HA45-AAB01G,NO,NO,,,,,,,
H7-KB280NKC-ID0,L40B2800,40B2800,,,OLD,,4A-LD40O5-CM1GTA,T8-40APKC-MA7,MS306-AP,81-PBE039-G03,06-520W37-B002X,T8-40B2800-LPM2,4C-LB400T-YH2,NO,NO,NO,NO,NO,NO,NO,46-ZZ089G-26ZG,NO,NO,,,,,,,
H7-YB252NKU-ID0,L24B2520,24B2520,,,OLD,,4A-LD24O5-CM5GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-B002X,T8-24B2520-LPM7,4C-LB240T-ZM1,NO,NO,NO,NO,NO,NO,NO,46-AB450D-CM0GG,NO,NO,,,,,,,
H7-ID20N7W-ID0A,L17D20B,16D20,,,OLD,,4A-LCD16E-CM1,T8-16AP7W-MA3,MS82C-AP,81-ADT1225-PW3,06-529W34-A002X,4A-LCD16E-CM1,,NO,NO,NO,NO,NO,NO,NO,46-ZZ042G-CM0BG,NO,NO,,,,,,,
H7-28E42NKG-ID0,L29E4200,28E4200,,,OLD,,4A-LD28O5-CS4GTA,T8-28APKG-MA7 (02-SHY82P-CFAP08T),MS82PT-AP,NO,06-520W37-F001X,T8-28E4200-LPM1,4C-LB280T-YH2,NO,NO,NO,NO,NO,NO,NO,46-ZZ575C-60ZG,NO,NO,,,,,,,
H7-HB252NKG-ID0A,L32B2520,32B2520,,,OLD,,4A-LD32OF-CS9GTA,"T8-32APKG-MA5
（02-SHY82P-CHAP02T）",MS82PT-AP,NO,06-520W37-B002X,T8-32B2520-LPM9,4C-LB320T-DS2,NO,NO,NO,NO,NO,NO,NO,46-ZZ538G-64ZG,NO,NO,,,,,,,
H7-YB252NKU-ID0,L24B2520,24B2520,,,OLD,,4A-LD24O5-CM5GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-B002X,T8-24B2520-LPM7,4C-LB240T-ZM1,NO,NO,NO,NO,NO,NO,NO,46-AB450D-CM0GG,NO,NO,,,,,,,
H7-YB280NTZ-ID0,L24B2800,24B2800,,,OLD,,4A-LD24E5-CM1GTA,"T8-24APTZ-MA1
（02-SHY82V-CYAP02）",MS82PV-AP,NO,06-520W37-B002X,4A-LD24E5-CM1GTA,,NO,NO,NO,NO,NO,NO,NO,46-60HC20-AAB01G,NO,NO,,,,,,,
H7-55E56Q1-IDND0AA,L55E5690,55E5690,,,OLD,,4A-LD55E7-CS2STA,08-S901K06-MA200AA,MS901K-AP,81-PE461C6-PL290AB,06-IRZNSB-CRC360,4A-LD55E7-CS2STA,,NO,NO,NO,NO,NO,NO,NO,46-YY058C-51Z02G,NO,NO,,,,,,,
H7-28E42NKG-ID0,L29E4200,28E4200,,,OLD,,4A-LD28O5-CS4GTA,T8-28APKG-MA7 (02-SHY82P-CFAP08T),MS82PT-AP,NO,06-520W37-F001X,T8-28E4200-LPM1,4C-LB280T-YH2,NO,NO,NO,NO,NO,NO,NO,46-ZZ575C-60ZG,NO,NO,,,,,,,
H7-XB261NAL-ID0,L40B2610,39B2610,,,OLD,,4A-LCD39O-CM3,T8-32APAL-MA4,RT49S-AP,81-PBE039-G01,06-520W37-T002X,T8-39B2610-LPM2,4C-LB390T-YHAL,NO,NO,NO,NO,NO,NO,NO,46-60FC50-CFB01G,NO,NO,,,,,,,
H7-TE420NTZ-ID0,L19E4200,19E4200,,,OLD,,4A-LD19E5-CM5GTA,"T8-19APTZ-MA2
（02-SHY82V-CTAP02）",MS82PV-AP,NO,06-520W37-F001X,4A-LD19E5-CM5GTA,,NO,NO,NO,NO,NO,NO,NO,46-60HC20-AAB01G,NO,NO,,,,,,,
H7-YB252NKU-ID0,L24B2520,24B2520,,,OLD,,4A-LD24O5-CM5GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-B002X,T8-24B2520-LPM7,4C-LB240T-ZM1,NO,NO,NO,NO,NO,NO,NO,46-AB450D-CM0GG,NO,NO,,,,,,,
H7-DB260NKU-ID0,L24B2600,23B2600,,,OLD,,4A-LD23O7-SS1GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-B002X,T8-23B2600-LPM1,4C-LB230T-HQ1,NO,NO,NO,NO,NO,NO,NO,46-60HA45-AAB01G,NO,NO,,,,,,,
